zone_id,zone_name,latitude,longitude,radius_m,risk_level,zone_type,district,road_name,road_category,total_accidents_2023,fatal_accidents,grievous_injuries,minor_injuries,pedestrian_knockdowns,primary_cause,source,report_year
TN_ACC_001,Kathipara Junction,13.0067,80.2026,900,high,accident,Chennai,GST Road / Inner Ring Road Junction,NH,47,12,23,18,8,High-speed merges at 6-way interchange; rear-end crashes dominant,Tamil Nadu Road Accident Analysis Report 2023 - TNSTA,2023
TN_ACC_002,GST Road Pallavaram to Tambaram,12.9582,80.1490,2000,high,accident,Chennai,NH-45 / GST Road,NH,63,18,31,22,5,High vehicle speeds; inadequate median; frequent lane-change collisions,Tamil Nadu Road Accident Analysis Report 2023 - TNSTA,2023
TN_ACC_003,Velachery-Tambaram Stretch SH48,12.9814,80.2143,1400,high,accident,Chennai,SH-48 Velachery Bypass,SH,38,9,19,14,11,Long straight stretches enabling speeding; front-rear collisions,Chennai Road Safety Corridor Audit - TNHD Feb 2025,2023
TN_ACC_004,Inner Ring Road Nanganallur-Adambakkam,12.9929,80.1958,1000,high,accident,Chennai,Inner Ring Road,SH,29,7,14,9,14,Pedestrian knockdowns at uncontrolled crossings near dense residential zones,TNHD Safety Audit Feb 2025,2023
TN_ACC_005,Thiruvottiyur Ennore Expressway SH1,13.1657,80.3004,1100,high,accident,Chennai,SH-1 Ennore Expressway,SH,34,11,17,12,3,Heavy industrial truck traffic; poor night-time lighting; no pedestrian infrastructure,Tamil Nadu Road Accident Analysis Report 2023 - TNSTA,2023
TN_ACC_006,Velachery Bypass Road SH48C,12.9787,80.2200,1200,medium,accident,Chennai,SH-48C,SH,22,4,11,9,7,Heavy commercial and bus traffic; encroached footpaths; rear-end crashes,Chennai Road Safety Corridor Audit - TNHD Feb 2025,2023
TN_ACC_007,Taramani Link Road SH48B,12.9874,80.2460,800,medium,accident,Chennai,SH-48B Taramani Link Road,SH,18,3,9,8,6,Dense IT corridor; mixed traffic; speeding private cabs; jaywalking near TIDEL Park,Chennai Police / TNHD 2023,2023
TN_ACC_008,Vadapalani Junction,13.0516,80.2121,700,medium,accident,Chennai,Arcot Road / Vadapalani Junction,MDR,21,3,10,11,5,Signal-jumping; unmanaged 5-way junction during peak hours,Chennai Traffic Police Safety Data 2023,2023
TN_ACC_009,Ambattur Industrial Estate,13.1085,80.1584,1000,medium,accident,Chennai,Ambattur Industrial Estate Road,MDR,17,2,8,9,2,Heavy goods vehicle movement; accidents peak at factory shift changeover hours,Tamil Nadu Road Accident Analysis Report 2023 - TNSTA,2023
TN_ACC_010,Porur Junction,13.0378,80.1563,700,medium,accident,Chennai,Mount-Poonamallee Road,NH,19,3,9,8,4,High congestion; signal-jumping; frequent two-wheeler vs car collisions,Chennai Traffic Police Safety Data 2023,2023
TN_ACC_011,OMR Sholinganallur Stretch,12.9010,80.2280,1200,medium,accident,Chennai,Old Mahabalipuram Road / SH-49,SH,24,5,12,10,3,High-speed IT corridor; reckless overtaking; late-night accidents by cab aggregators,Chennai Police / TNHD 2022-23,2023
TN_ACC_012,Pallikaranai-Medavakkam Road,12.9268,80.2013,900,medium,accident,Chennai,Pallikaranai-Medavakkam Road,MDR,14,2,6,7,5,Rapid urbanisation; unsafe junctions; pedestrian infrastructure gaps,TNHD Safety Audit 2023,2023
